ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Nordeste,BA,2904506,Interior,Municipal,Urbana,159.854177,247.29474,Feminino,Branca,Setembro,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental", ,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,SP,3550308,Capital,Municipal,Urbana,160.311892,243.024119,Masculino,Branca,Fevereiro,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Somente trabalhar
2017,Centro-Oeste,DF,5300108,Capital,Estadual,Urbana,271.847248,261.896052,Masculino,Não quero declarar,Fevereiro,2003,"Sim, um", ,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,DF,5300108,Capital,Estadual,Urbana,217.290881,237.144805,Masculino,Parda,Setembro,2001,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3552403,Interior,Estadual,Urbana,213.626566,310.261416,Masculino,Parda,Outubro,2002,Não tem,Não sei,Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,AL,2704302,Capital,Estadual,Urbana,259.890722,261.29275,Masculino,Preta,Março,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Ainda não sei
2017,Nordeste,MA,2103208,Interior,Municipal,Urbana,298.420706,211.721062,Feminino,Parda,Junho,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sul,SC,4206009,Interior,Municipal,Urbana,364.491917,325.474804,Masculino, ,Maio,2002,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Completou a Faculdade,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Nordeste,PB,2512077,Interior,Municipal,Rural,257.765495,220.27963,Masculino,Parda, ,1999,"Sim, um",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Somente trabalhar
2017,Nordeste,BA,2910800,Interior,Estadual,Urbana,252.764836,216.192224, ,Preta,Maio,2001,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal, ,Menos de 1 hora, ,Continuar estudando e trabalhar
2017,Sul,RS,4308409,Interior,Municipal,Urbana,234.770021,192.099557,Masculino,Branca,Maio,2001,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não sei,Menos de 1 hora,Entre 1 e 2 horas,Não, 
2017,Centro-Oeste,GO,5200258,Interior,Estadual,Urbana,281.987788,290.137774,Masculino,Preta,Fevereiro,2003, , , , , , , 
2017,Norte,PA,1507458,Interior,Municipal,Rural,214.802479,226.540857,Masculino,Branca,Outubro,2001,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,ES,3201308,Interior,Estadual,Urbana,324.843097,265.465112,Feminino,Branca,Julho,2002,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2305902,Interior,Municipal,Rural,271.521867,239.231601,Feminino,Parda,Maio,2001,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,SP,3516200,Interior,Estadual,Urbana,302.38021,186.639715,Feminino,Branca,Novembro,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,290.110533,269.806605,Feminino,Parda,Março,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,MG,3136306,Interior,Estadual,Urbana,173.018185,259.275484,Masculino,Não quero declarar,Agosto,2002,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio", ,Entre 1 e 2 horas,Mais de 3 horas,Sim,Ainda não sei
2017,Norte,PA,1500107,Interior,Estadual,Urbana,243.434224,202.398277,Feminino,Parda,Setembro,2001,"Sim, um",Não sei,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,MG,3120870,Interior,Estadual,Urbana,274.298077,234.711924,Feminino,Parda,Março,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Menos de 1 hora,"Mais de 2 horas, até 3 horas",Não,Somente continuar estudando
2017,Sudeste,SP,3548500,Interior,Estadual,Urbana,274.260172,256.99843,Masculino,Branca,Junho,2002,"Sim, dois",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Norte,AM,6305553,Interior,Municipal,Rural,163.714238,180.733964,Feminino,Parda,Dezembro,2001,Não tem,Nunca estudou,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Menos de 1 hora,"Mais de 2 horas, até 3 horas",Sim,Continuar estudando e trabalhar
2017,Nordeste,SE,2803500,Interior,Municipal,Rural,283.1134,258.449787,Feminino,Branca,Agosto,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Mais de 3 horas,Não,Somente continuar estudando
2017,Sudeste,MG,3106200,Capital,Estadual,Urbana,300.635789,310.45933,Masculino,Parda,Julho,2002,"Sim, três",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade","Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
2017,Nordeste,BA,2907202,Interior,Municipal,Rural,214.841815,217.187443,Feminino,Preta,Março,2004,"Sim, um",Completou a Faculdade,Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sul,SC,4202305,Interior,Estadual,Urbana,170.20071,167.661363,Masculino,Preta,Março,2001,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental", ,Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Sim,Somente trabalhar
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,282.529686,292.834579,Feminino,Parda,Julho,2002,"Sim, quatro ou mais","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Completou a Faculdade,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,PI,2200202,Interior,Municipal,Urbana,196.041866,185.815583,Feminino,Parda,Outubro,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Entre 1 e 2 horas,Não,Ainda não sei
2017,Norte,AM,1303403,Interior,Estadual,Urbana,237.273904,273.868859,Masculino,Parda,Março,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Menos de 1 hora,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,SP,3515707,Interior,Estadual,Urbana,309.042761,272.780244,Feminino, ,Abril,2003,"Sim, dois","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas, ,Não,Continuar estudando e trabalhar
2017,Nordeste,PE,2607208,Interior,Municipal,Urbana,225.029129,265.796554,Masculino,Preta,Março,2002,Não tem,Não sei,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Nordeste,PE,2610905,Interior,Estadual,Urbana,322.68834,326.557998,Feminino,Branca,Janeiro,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3508405,Interior,Estadual,Urbana,273.606379,292.921771,Feminino,Branca,Janeiro,2003,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Sul,RS,4309506,Interior,Estadual,Urbana,232.813436,262.035559,Feminino,Branca,Novembro,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,SP,3549805,Interior,Estadual,Urbana,184.167759,194.243978,Masculino,Parda,Outubro,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
2017,Nordeste,BA,2919207,Interior,Municipal,Urbana,169.283075,222.372351,Masculino,Parda,Fevereiro,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Ainda não sei
2017,Nordeste,BA,2924801,Interior,Estadual,Urbana,273.530957,285.906166,Feminino,Preta,Janeiro,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Sul,RS,4300604,Interior,Estadual,Urbana,195.188746,275.428814,Masculino,Branca,Julho,2002,Não tem,Não sei,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,SP,3538006,Interior,Estadual,Urbana,218.323496,196.935193,Masculino,Parda,Dezembro,2000,"Sim, dois",Não sei,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
2017,Sudeste,MG,3158201,Interior,Estadual,Urbana,230.531413,279.489447,Feminino,Parda,Maio,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não sei,Mais de 3 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
